"WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.WAP","WM.hasGaps","WM.Count","index","Orders","Position","holdingGrossReturn","X50PeriodSMA","upperBband2SD50PeriodsSMA","lowerBband2SD50PeriodsSMA","upperBband1SD50PeriodsSMA","lowerBband1SD50PeriodsSMA","X20PeriodSMA","upperBband2SD20PeriodsSMA","lowerBband2SD20PeriodsSMA","upperBband1SD20PeriodsSMA","lowerBband1SD20PeriodsSMA","X10PeriodSMA","upperBband2SD10PeriodsSMA","lowerBband2SD10PeriodsSMA","upperBband1SD10PeriodsSMA","lowerBband1SD10PeriodsSMA","X5PeriodSMA","upperBband2SD5PeriodsSMA","lowerBband2SD5PeriodsSMA","upperBband1SD5PeriodsSMA","lowerBband1SD5PeriodsSMA","SD20Days","SD10Days","SD5Days"
153.74,153.86,153.68,153.68,35,153.783,0,32,38,0,0,1.01731882380181,NA,NA,NA,NA,NA,153.0806,154.098789807556,152.062410192444,153.589694903778,152.571505096222,153.5211,153.874821107968,153.167378892032,153.697960553984,153.344239446016,153.6088,153.930999937927,153.286600062073,153.769899968963,153.447700031037,0.509094903777904,0.176860553984077,0.161099968963367
153.73,153.86,153.67,153.83,63,153.79,0,57,39,0,0,1.01736513081732,NA,NA,NA,NA,NA,153.14755,154.167517073772,152.127582926228,153.657533536886,152.637566463114,153.5774,153.901013212201,153.253786787799,153.739206606101,153.415593393899,153.677,153.973401754381,153.380598245619,153.82520087719,153.52879912281,0.509983536885984,0.161806606100544,0.148200877190381
153.87,154.12,153.87,154.08,84,154.003,0,76,40,0,0,1.0187741871465,NA,NA,NA,NA,NA,153.22785,154.251886240107,152.203813759893,153.739868120054,152.715831879947,153.6431,154.020257143789,153.265942856211,153.831678571894,153.454521428105,153.7868,154.076835859852,153.496764140148,153.931817929926,153.641782070074,0.512018120053536,0.188578571894518,0.145017929925918
154.09,154.14,154.03,154.1,98,154.084,0,79,41,0,0,1.01931002546886,NA,NA,NA,NA,NA,153.3192,154.303779546919,152.334620453081,153.811489773459,152.826910226541,153.7077,154.145193923767,153.270206076233,153.926446961884,153.488953038116,153.8846,154.180973413113,153.588226586887,154.032786706556,153.736413293444,0.492289773459323,0.218746961883659,0.148186706556291
154.12,154.33,154.12,154.26,49,154.229,0,46,42,0,0,1.02026924221877,NA,NA,NA,NA,NA,153.41055,154.375648189714,152.445451810286,153.893099094857,152.928000905143,153.7794,154.301233689982,153.257566310018,154.040316844991,153.518483155009,153.9778,154.362807532394,153.592792467606,154.170303766197,153.785296233803,0.48254909485706,0.260916844990888,0.192503766196934
154.32,154.37,154.2,154.3,64,154.294,0,56,43,0,0,1.02069923593424,NA,NA,NA,NA,NA,153.49765,154.450856947211,152.544443052789,153.974253473605,153.021046526395,153.8444,154.446960610137,153.241839389863,154.145680305069,153.543119694931,154.08,154.47754496601,153.68245503399,154.278772483005,153.881227516995,0.476603473605293,0.30128030506859,0.198772483005078
154.3,154.3,154.09,154.21,54,154.211,0,47,44,0,0,1.02015016703602,NA,NA,NA,NA,NA,153.5707,154.506426928228,152.634973071772,154.038563464114,153.102836535886,153.9206,154.492893009645,153.348306990355,154.206746504823,153.634453495177,154.1642,154.400112695716,153.928287304284,154.282156347858,154.046243652142,0.467863464113872,0.28614650482266,0.117956347858021
154.16,154.21,154.11,154.18,49,154.157,0,46,45,0,0,1.01979294148778,NA,NA,NA,NA,NA,153.63955,154.531946295022,152.747153704978,154.085748147511,153.193351852489,153.9909,154.474252597317,153.507547402683,154.232576298659,153.749223701341,154.195,154.353044297588,154.036955702412,154.274022148794,154.115977851206,0.446198147510841,0.241676298658633,0.0790221487938698
154.19,154.22,153.96,153.96,47,154.133,0,39,46,0,0,1.01963417457745,NA,NA,NA,NA,NA,153.711,154.512170196781,152.909829803219,154.111585098391,153.310414901609,154.0447,154.44479893221,153.64460106779,154.244749466105,153.844650533895,154.2048,154.331373298922,154.078226701078,154.268086649461,154.141513350539,0.400585098390633,0.200049466104991,0.0632866494610047
153.94,154.09,153.88,153.92,72,153.969,0,58,47,0,0,1.01854926735686,NA,NA,NA,NA,NA,153.7666,154.466121761446,153.067078238554,154.116360880723,153.416839119277,154.0653,154.419519078475,153.711080921525,154.242409539237,153.888190460763,154.1528,154.392626604029,153.912973395971,154.272713302014,154.032886697986,0.349760880723119,0.177109539237423,0.119913302014421
